"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Envoi d'une requête pour retourner un cours avec un identifiant 1. On s'attend à un statut 400 car BDD vide.","10","Test unitaire controller pour retourner un cours","","Thu Apr 30 14:27:16 UTC 2026","passed","Thu Apr 30 14:27:16 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","getCoursTest"
"Envoi d'une requête pour créer un cours avec un identifiant nul. On s'attend à un statut 201.","13","Test unitaire controller pour créer un cours avec un identifiant nul","","Thu Apr 30 14:27:16 UTC 2026","passed","Thu Apr 30 14:27:16 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestOk"
"","7","createInstrumentTestOk(String) [2] libelle = ""clarinette""","","Thu Apr 30 14:27:17 UTC 2026","passed","Thu Apr 30 14:27:17 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk"
"Envoi d'une requête pour retourner le cours avec l'id 5. On s'attend à un statut 400 car ce cours n'existe pas.","9","Test d'intégration du controller pour retourner le cours avec l'id 5","","Thu Apr 30 14:27:19 UTC 2026","passed","Thu Apr 30 14:27:19 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","getCoursTestKo"
"","9","getInstrumentsTest()","","Thu Apr 30 14:27:17 UTC 2026","passed","Thu Apr 30 14:27:17 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentsTest"
"Envoi d'une requête pour créer un cours avec un identifiant non nul ou invalide. On s'attend à un statut 400.","24","Test unitaire controller pour créer un cours avec un identifiant non nul ou invalide","","Thu Apr 30 14:27:16 UTC 2026","passed","Thu Apr 30 14:27:16 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestKo"
"","15","updateInstrumentTest()","","Thu Apr 30 14:27:17 UTC 2026","passed","Thu Apr 30 14:27:17 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","updateInstrumentTest"
"Envoi d'une requête pour supprimer le cours un identifiant 1. On s'attend à un statut 400 car aucun cours dans la BDD.","199","Test unitaire controller pour supprimer un cours","","Thu Apr 30 14:27:16 UTC 2026","passed","Thu Apr 30 14:27:16 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","deleteCoursTest"
"Envoi d'une requête pour retourner la liste des cours. On s'attend à un statut 200 et à ce que le body contienne le cours.","65","Test d'intégration du controller pour retourner la liste des cours","","Thu Apr 30 14:27:20 UTC 2026","passed","Thu Apr 30 14:27:20 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","getProchainsCoursTest"
"","6","deleteInstrumentTest()","","Thu Apr 30 14:27:17 UTC 2026","passed","Thu Apr 30 14:27:17 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","deleteInstrumentTest"
"Envoi d'une requête pour créer un cours avec un identifiant non nul et/ou invalide. On s'attend à un statut 400.","24","Test unitaire controller pour créer un cours avec un identifiant non nul et/ou invalide","","Thu Apr 30 14:27:19 UTC 2026","passed","Thu Apr 30 14:27:20 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","createCoursTestKo"
"","5","getInstrumentTestKo()","","Thu Apr 30 14:27:17 UTC 2026","passed","Thu Apr 30 14:27:17 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentTestKo"
