"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","createInstrumentTestKo(String) [3] libelle = ""a""","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Envoi d'une requête pour supprimer un cours avec l'identifiant 5. On s'attend à un statut 400.","16","Test d'intégration controller pour supprimer un cours avec l'identifiant 5","","Thu Apr 30 14:38:58 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","deleteCoursTestKo"
"Test de vérification du contexte de l'application","7","contextLoads()","","Thu Apr 30 14:38:58 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.HarmoGestionApiApplicationTests","fr.afpa.cda19.harmogestionapi.HarmoGestionApiApplicationTests","contextLoads"
"","8","createInstrumentTestKo(String) [2] libelle = """"","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"","16","updateInstrumentTest()","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","updateInstrumentTest"
"Envoi d'une requête pour retourner un cours avec un identifiant 1. On s'attend à un statut 400 car BDD vide.","7","Test unitaire controller pour retourner un cours","","Thu Apr 30 14:38:54 UTC 2026","passed","Thu Apr 30 14:38:54 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","getCoursTest"
"","8","createInstrumentTestKo(String) [5] libelle = ""abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz""","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Envoi d'une requête pour modifier un cours valide avec l'identifiant 1. On s'attend à un statut 200.","105","Test d'intégration controller pour modifier un cours valide avec l'identifiant 1","","Thu Apr 30 14:38:57 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","updateCoursTestOk"
"Envoi d'une requête pour retourner la liste des cours. On s'attend à un statut 200 et à ce que le body contienne le cours.","58","Test d'intégration du controller pour retourner la liste des cours","","Thu Apr 30 14:38:58 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","getProchainsCoursTest"
"Envoi d'une requête pour créer un cours avec un identifiant nul. On s'attend à un statut 201.","12","Test unitaire controller pour créer un cours avec un identifiant nul","","Thu Apr 30 14:38:54 UTC 2026","passed","Thu Apr 30 14:38:54 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestOk"
"Envoi d'une requête pour créer un cours avec un identifiant non nul et/ou invalide. On s'attend à un statut 400.","21","Test d'intégration controller pour créer un cours avec un identifiant non nul et/ou invalide","","Thu Apr 30 14:38:58 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","createCoursTestKo"
"Envoi d'une requête pour supprimer un cours avec l'identifiant 2. On s'attend à un statut 200.","24","Test d'intégration controller pour supprimer un cours avec l'identifiant 2","","Thu Apr 30 14:38:58 UTC 2026","failed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","deleteCoursTestOk"
"Envoi d'une requête pour créer un cours avec un identifiant non nul ou invalide. On s'attend à un statut 400.","23","Test unitaire controller pour créer un cours avec un identifiant non nul ou invalide","","Thu Apr 30 14:38:54 UTC 2026","passed","Thu Apr 30 14:38:54 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestKo"
"Envoi d'une requête pour supprimer le cours un identifiant 1. On s'attend à un statut 400 car aucun cours dans la BDD.","176","Test unitaire controller pour supprimer un cours","","Thu Apr 30 14:38:54 UTC 2026","passed","Thu Apr 30 14:38:54 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","deleteCoursTest"
"Envoi d'une requête pour créer un cours valide avec un identifiant nul. On s'attend à un statut 201.","26","Test d'intégration controller pour créer un cours valide avec un identifiant nul","","Thu Apr 30 14:38:58 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","createCoursTestOk"
"","13","getInstrumentsTest()","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentsTest"
"","7","createInstrumentTestKo(String) [4] libelle = ""br""","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Envoi d'une requête pour retourner le cours avec l'id 5. On s'attend à un statut 400 car ce cours n'existe pas.","11","Test d'intégration du controller pour retourner le cours avec l'id 5","","Thu Apr 30 14:38:58 UTC 2026","passed","Thu Apr 30 14:38:58 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","getCoursTestKo"
"","6","getInstrumentTestKo()","","Thu Apr 30 14:38:55 UTC 2026","passed","Thu Apr 30 14:38:55 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentTestKo"
